Nationality,Reading,Listening,Writing,Speaking,Overall
Bangladesh,6,6.4,5.7,6.3,6.2
Brazil,7,6.8,5.9,6.7,6.7
Cambodia,5.6,5.9,5.5,5.8,5.8
Canada,6.9,7.2,6.1,7.2,6.9
China,6.2,5.9,5.5,5.4,5.8
Colombia,6.8,6.5,5.8,6.5,6.5
Egypt,6.4,6.8,5.8,6.5,6.4
France,7.1,7,5.9,6.6,6.7
Germany,7.7,7.9,6.3,7.4,7.4
Greece,7.3,7.5,6.1,6.8,7
HongKong,6.9,7.1,6,6.3,6.6
India,5.9,6.5,5.8,6,6.1
Indonesia,6.7,6.8,5.8,6.3,6.5
Iran,6.1,6.4,5.8,6.4,6.2
Iraq,5.4,5.5,5.2,5.8,5.6
Italy,7.3,7,5.9,6.6,6.8
Japan,6.1,5.9,5.5,5.5,5.8
Jordan,6.1,6.4,5.6,6.5,6.2
Kazakhstan,6.3,6.3,5.6,6,6.1
Korea,6.3,6.3,5.6,5.8,6
Kuwait,5.2,5.6,5.1,5.9,5.5
Malaysia,7.1,7.4,6.1,6.8,6.9
Mexico,6.7,6.6,5.8,6.5,6.5
Nepal,5.8,6.3,5.6,5.8,5.9
Nigeria,6.5,7,6.2,7.2,6.8
Oman,5,5.1,5.1,5.5,5.2
Pakistan,6.1,6.6,5.8,6.4,6.3
Philippines,6.8,7.3,6.1,6.8,6.8
Qatar,5.1,5.6,5,5.8,5.4
Russia,6.9,7,6,6.7,6.7
SaudiArabia,5.2,5.4,5,5.8,5.4
Spain,7.3,7.2,6,6.8,6.9
SriLanka,6.2,6.6,5.8,6.5,6.3
Taiwan,6.3,6.3,5.6,6,6.1
Thailand,6.1,6.4,5.5,5.9,6
Turkey,6.5,6.6,5.7,6.2,6.3
Ukraine,6.6,6.7,5.8,6.5,6.5
UAE,4.8,5,4.7,5.4,5.1
Uzbekistan,5.6,5.9,5.4,5.7,5.7
Vietnam,6.3,6.2,5.7,5.7,6.1
